,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
2992,steven evans,POR,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,46500,46500
2993,michael seaton,DC ,F,3,1,114,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,2,0,0,0,,2013,reg,0,35125,38125
2994,drew beckie,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,0,35125,35125
2995,kory kindle,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,35125,35125
2996,ian christianson,NY ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,46500,46500
2997,tommy muller,SJ ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,0,35125,35125
2998,mikey lopez,KC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,75000,147000
3000,amando moreno,NY ,M-F,2,0,2,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,35125,35125
3001,oscar sorto,LA ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,46500,48375
3003,sebastian rincon,POR,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,46500,46500
3004,will bates,SEA,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,35125,35125
3005,cristhian hernandez,PHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,0,62500,64375
3006,kellen gulley,CHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,0,65000,79000
3007,caleb clarke,VAN,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,0,46500,46500
3010,kyle miller,KC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2013,reg,1,35125,35125
3013,taylor kemp,DC ,D,8,6,530,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,0,0,0.0,2013,reg,0,35125,35125
3014,london woodberry,DAL,D,8,3,363,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,1,0,100.0,2013,reg,0,46500,46500
3015,yazid atouba,CHI,M,3,0,55,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,0.0,2013,reg,0,46500,51500
3017,dillon serna,COL,M,1,0,13,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,2013,reg,1,46500,59500
3018,carlos salcedo,RSL,D,13,12,1070,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,4,1,3,0,0.0,2013,reg,1,35125,35125
3019,don anding,PHI,D,1,0,30,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2013,reg,0,35125,35125
3020,kevin ellis,KC ,D,2,1,113,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,2,0,0,0,0.0,2013,reg,1,46500,47250
3021,matt kassel,PHI,D-M,5,0,90,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,1,0,0,0.0,2013,reg,0,46500,46500
3022,shaun francis,CHI,D,1,1,90,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,0.0,2013,reg,0,46500,46500
3023,steven kinney,CHI,D,2,2,180,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,0.0,2013,reg,0,46500,46500
3025,jaime alas,SJ ,M,5,1,117,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,0.0,2013,reg,0,90000,91250
3026,tommy meyer,LA ,D,7,5,494,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,0,0,0.0,2013,reg,1,47300,61050
3029,marcelo saragosa,DC ,M,8,4,410,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,7,0,2,0,0.0,2013,reg,0,110000,110000
3030,logan pause,CHI,M,15,11,904,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,2,0,1,0,0.0,2013,reg,0,180000,197833.33
3031,mehdi ballouchy,SJ ,M,5,1,118,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,1,0,0.0,2013,reg,0,152006,152006
3032,jonas elmer,TOR,D,3,1,128,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,0.0,2013,reg,0,124999.92,131488.2
3033,roger torres,PHI,M,5,0,68,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0.0,2013,reg,0,121968,125093
3034,aaron maund,RSL,D,3,3,270,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,1,0,0.0,2013,reg,1,35125,43458.33
3035,kwame watsonsiriboe,RSL,D,7,7,630,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,3,0,1,0,0.0,2013,reg,1,53240,53240
3036,dejan jakovic,LAFC,D,18,17,1575,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,15,1,3,0,0.0,2013,reg,0,280000,303341.33
3037,brad ring,POR,D,4,3,271,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0.0,2013,reg,1,46500,46500
3038,kevin alston,NE ,D,9,6,523,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,11,0,0,0,50.0,2013,reg,1,145000,194000
3039,aj delagarza,MIA,D,28,28,2399,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,22,0,3,0,50.0,2013,reg,1,120000,142500
3040,marcus tracy,SJ ,F,5,0,58,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,1,0,0,50.0,2013,reg,0,46500,46500
3043,eric brunner,HOU,D,13,9,889,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,9,1,1,0,0.0,2013,reg,1,120000,120625
3044,hernan bernardello,MTL,M,8,8,626,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,20,0,1,0,0.0,2013,reg,1,250008,250008
3046,jay demerit,VAN,D,8,7,607,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,3,0,1,0,50.0,2013,reg,0,325000,375000
3047,peter luccin,DAL,M,3,2,201,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,3,0,0.0,2013,reg,0,90000,131000
3048,mikael silvestre,POR,D,8,8,688,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,5,1,2,0,0.0,2013,reg,0,180000,186666.67
3049,danny koevermans,TOR,F,4,1,78,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,1,1,0,100.0,2013,reg,0,1250000,1663323.33
3050,gale agbossoumonde,TOR,D,13,12,1081,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,21,7,0,4,0,0.0,2013,reg,0,46500,53166.67
3051,eric gehrig,CLB,D,6,6,540,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,50.0,2013,reg,0,46500,46500
3052,bobby warshaw,DAL,D,9,1,130,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0.0,2013,reg,0,50820,62070
3053,conor shanosky,DC ,M-D,5,3,355,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,0,0,0.0,2013,reg,0,75000,89218.83
3054,eriq zavaleta,TOR,D,5,0,31,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,1,0,0,50.0,2013,reg,1,65000,95600
3055,marius obekop,NY ,M,5,0,69,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,0.0,2013,reg,1,35125,35125
3056,john stertzer,RSL,M,2,0,33,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,2013,reg,1,46500,75250
3057,alex caskey,SEA,M,10,5,430,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,6,0,0,0,0.0,2013,reg,1,46500,46500
3058,dennis iapichino,DC ,D,15,11,1096,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,7,0,4,0,0.0,2013,reg,0,110000,110000
3060,marvin iraheta,CHV,M,13,5,551,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,16,4,0,2,0,0.0,2013,reg,0,46500,46500
3061,josue soto,CHV,D-M,18,12,1158,0,0,3,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,5,0,2,1,100.0,2013,reg,0,35125,35125
3062,sam garza,SJ ,M,5,0,93,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,33.33,2013,reg,0,71500,98000
3063,kevan george,CLB,M,11,3,435,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,4,0,3,0,33.33,2013,reg,0,46500,46500
3064,danny orourke,CLB,D,22,19,1723,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,45,17,0,6,0,0.0,2013,reg,0,170000,175000
3065,ty harden,SJ ,D,7,7,596,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,1,0,0.0,2013,reg,0,65000,68415.21
3066,brian ownby,HOU,M,3,0,52,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,33.33,2013,reg,1,46500,46500
3069,terry dunfield,TOR,M,4,4,311,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,5,0,1,0,25.0,2013,reg,0,120000,120000
3070,andy obrien,VAN,D,16,16,1400,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,5,0,0,0,50.0,2013,reg,0,200012.04,230012.04
3071,jordan stewart,SJ ,D-M,12,12,1080,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,13,0,0,0,25.0,2013,reg,0,108000,108000
3072,ethan finlay,MIN,M,19,3,391,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,6,0,2,0,50.0,2013,reg,0,47300,62300
3073,casey townsend,DC ,F,9,3,316,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,0,8,1,0,25.0,2013,reg,0,56650,91650
3074,raymon gaddis,PHI,D,31,31,2703,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,25,23,0,3,0,50.0,2013,reg,0,46500,46500
3075,ethan white,DC ,D,14,13,1099,0,0,4,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,12,0,2,0,0.0,2013,reg,0,75000,91000
3077,alvas powell,MIA,D,5,4,382,0,0,4,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,1,1,0,0.0,2013,reg,1,35400,35400
3078,greg cochrane,LA ,D,12,9,848,0,0,5,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0,0.0,2013,reg,1,35125,35125
3079,zach loyd,DAL,D,25,24,2132,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,25,24,2,1,0,40.0,2013,reg,0,92372.5,136997.5
3080,chris schuler,RSL,D,16,16,1440,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,11,0,2,0,20.0,2013,reg,1,100000,117000
3082,kamani hill,COL,F,6,2,188,0,0,5,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,1,0,0,0.0,2013,reg,1,46500,46500
3084,patrick ianni,SEA,D-M,9,7,705,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,7,0,1,0,20.0,2013,reg,1,150000,150000
3085,michael lahoud,PHI,M,9,3,464,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,5,0,1,0,20.0,2013,reg,0,90000,93333.33
3086,david estrada,SEA,M-F,17,4,498,0,0,5,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,6,2,0,0,60.0,2013,reg,1,48400,48400
3088,wells thompson,CHI,D,8,6,542,0,0,6,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,11,0,2,1,0.0,2013,reg,0,105000,113125
3089,colin clark,LA ,M,11,4,334,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,6,0,0,0,33.33,2013,reg,1,80000,80000
3090,carlos bocanegra,CHV,D,12,12,1052,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,10,0,2,1,33.33,2013,reg,0,228000,261333.33
3091,jose manuel rivera,CHV,F,9,3,266,0,0,6,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,4,1,1,0,16.67,2013,reg,0,116000,116000
3093,kellyn acosta,COL,M,13,11,1004,0,0,6,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,10,0,2,0,0.0,2013,reg,0,46500,70500
3094,leo fernandes,PHI,M,7,3,281,0,0,6,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,4,0,1,0,16.67,2013,reg,0,35125,35125
3095,german mera,COL,D,13,6,577,0,0,7,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,0,0,2,0,0.0,2013,reg,1,46500,46500
3096,erick neres da cruz,DAL,M,9,8,652,0,0,7,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,16,0,1,0,0.0,2013,reg,0,84000,85875
3097,david carney,NY ,D-M,7,7,630,0,0,7,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,1,0,2,0,0.0,2013,reg,1,144000,167000
3099,zach scott,SEA,D,21,16,1458,0,0,7,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,33,6,0,5,2,57.14,2013,reg,1,50000,50000
3100,jhon kennedy hurtado,SEA,D,27,25,2243,0,0,8,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,9,2,5,0,0.0,2013,reg,1,190000,190000
3102,johnny leveron,VAN,D,18,18,1620,0,0,8,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,10,1,3,0,12.5,2013,reg,0,60000,71187.5
3103,richard eckersley,TOR,D,16,16,1438,0,0,8,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,26,17,0,4,0,37.5,2013,reg,0,210000,310000
3104,chris wingert,RSL,D,21,20,1742,0,0,8,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,29,6,0,6,1,12.5,2013,reg,1,160598,167598
3105,omar cummings,HOU,F,11,1,190,0,0,8,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,1,0,0,37.5,2013,reg,1,225000,239000
3106,stephen mccarthy,NE ,D,19,17,1564,0,0,8,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,16,2,2,0,25.0,2013,reg,1,87120,118370
3107,shane oneill,SEA,D,26,24,2196,0,0,8,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,24,1,6,1,50.0,2013,reg,1,49350,60850
3108,brad rusin,VAN,D,19,16,1391,0,0,9,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,7,1,1,0,22.22,2013,reg,0,120000,120000
3109,clarence goodson,SJ ,D,9,9,791,0,0,9,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,9,0,4,0,33.33,2013,reg,0,315000,342000
3110,peterson joseph,KC ,M,23,14,1174,0,0,9,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,31,14,1,7,0,11.11,2013,reg,1,46500,46500
3111,sainey nyassi,DC ,M,14,7,676,0,0,10,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,12,4,1,0,10.0,2013,reg,0,88200,94950
3114,konrad warzycha,CLB,M,13,2,272,0,0,10,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,4,0,1,0,0.0,2013,reg,0,46500,46500
3115,kyle bekker,TOR,M,9,3,335,0,0,11,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,1,0,0,9.09,2013,reg,0,46500,72750
3117,bobby burling,CHV,D,23,18,1651,0,0,11,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,36,13,0,6,0,36.36,2013,reg,0,85000,88333.33
3119,matthew fondy,CHV,F,7,1,236,0,0,12,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,6,3,0,0,16.67,2013,reg,0,46500,46500
3120,chris korb,DC ,D,30,30,2700,0,0,12,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,24,17,1,5,0,16.67,2013,reg,0,49613,49613
3121,gabriel farfan,CHV,M,20,13,1157,0,0,17,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,22,2,3,1,23.53,2013,reg,0,50820,50820
3122,carlos ruiz,DC ,F,13,5,528,0,0,20,9,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,8,5,0,0,45.0,2013,reg,0,75000,75000
3123,bradley wrightphillips,LAFC,F,32,29,2573,27,2,109,57,6,6/6,18,9,0.94,24.8,0,1,1,0.07,45,38,33,3,0,52.29,2014,reg,1,330000,372500
3124,dom dwyer,ORL,F,33,31,2724,22,1,113,48,6,7/8,12,10,0.73,19.5,1,0,1,0.03,64,66,38,6,0,42.48,2014,reg,0,80000,92500
3125,robbie keane,LA ,F,29,28,2549,19,14,122,54,5,1/4,12,7,0.67,15.6,6,8,6,0.49,23,38,22,2,0,44.26,2014,reg,1,4500000,4500000
3126,lee nguyen,MIA,M,32,32,2750,18,5,83,41,9,4/4,9,9,0.59,21.7,1,2,3,0.16,49,77,3,5,0,49.4,2014,reg,1,175000,193750
3127,obafemi martins,SEA,F,31,29,2600,17,13,77,36,3,1/1,7,10,0.59,22.1,4,7,6,0.45,25,67,11,4,2,46.75,2014,reg,1,1620000,1753333.33
3128,gyasi zardes,CLB,F,32,26,2392,16,2,74,30,6,0/0,10,6,0.6,21.6,0,2,0,0.08,13,37,8,0,0,40.54,2014,reg,1,125000,198000
3129,clint dempsey,SEA,M-F,26,23,2132,15,10,113,47,5,2/2,6,9,0.63,13.3,5,4,6,0.42,34,52,12,4,0,41.59,2014,reg,1,4913004,6695188.75
3130,erick torres,CHV,F,29,29,2510,15,1,95,32,4,5/6,6,9,0.54,15.8,1,0,1,0.04,50,55,19,4,1,33.68,2014,reg,0,152004,152004
3131,chris wondolowski,SJ,F,26,26,2340,14,4,77,36,0,1/2,7,7,0.54,18.2,1,3,1,0.15,24,33,18,2,0,46.75,2014,reg,0,600000,650000
3132,joao plata,RSL,F,26,24,1985,13,6,56,32,4,1/1,8,5,0.59,23.2,2,4,2,0.27,14,23,14,0,0,57.14,2014,reg,1,70000,70000
3134,diego valeri,POR,M,33,32,2763,11,14,104,42,4,1/1,7,4,0.36,10.6,1,10,4,0.46,24,45,7,6,0,40.38,2014,reg,0,500000,500000
3135,fabian espindola,DC ,F,27,24,2124,11,9,68,31,3,0/1,6,5,0.47,16.2,4,6,3,0.38,49,45,28,5,1,45.59,2014,reg,1,150000,150000
3136,ethan finlay,MIN,M,29,21,1898,11,7,50,22,5,0/0,4,7,0.52,22.0,0,2,5,0.33,19,36,12,2,0,44.0,2014,reg,1,50847.5,65847.5
3137,federico higuain,DC,F,29,28,2488,11,7,73,25,1,5/8,3,8,0.4,15.1,2,4,3,0.25,22,45,9,8,0,34.25,2014,reg,1,580000,744000
3138,blas perez,DAL,F,29,24,2061,11,6,55,21,3,2/3,7,4,0.48,20.0,1,2,4,0.26,46,51,12,4,2,38.18,2014,reg,1,335000,359250
3139,giles barnes,HOU,M,34,34,3028,11,5,113,42,3,2/3,8,3,0.33,9.7,2,3,2,0.15,52,48,14,4,0,37.17,2014,reg,0,230000,241158.33
3140,luis silva,DC ,F,27,22,1523,11,4,39,17,4,2/2,5,6,0.65,28.2,1,1,3,0.24,20,18,4,2,0,43.59,2014,reg,1,99440,134440
3141,jermain defoe,TOR,F,19,17,1529,11,2,58,25,5,3/4,8,3,0.65,19.0,0,0,2,0.12,22,23,25,5,0,43.1,2014,reg,0,6000000,6180000
3142,landon donovan,LA ,M-F,31,30,2720,10,19,66,24,4,3/3,7,3,0.33,15.2,5,11,8,0.63,31,32,6,7,0,36.36,2014,reg,1,4250000,4583333.33
3143,thierry henry,NY ,F,30,30,2651,10,14,86,28,3,0/0,8,2,0.34,11.6,4,11,3,0.48,33,26,12,3,0,32.56,2014,reg,1,3750000,4350000
3144,pedro morales,VAN,M,33,28,2554,10,12,105,39,3,7/8,7,3,0.35,9.5,4,8,4,0.42,19,29,2,4,0,37.14,2014,reg,0,1190000,1410900
3145,fabian castillo,DAL,M-F,27,26,2282,10,4,74,32,4,0/1,7,3,0.39,13.5,1,1,3,0.16,30,29,31,5,0,43.24,2014,reg,1,70000,76250
3146,maximiliano urruti,MTL,F,30,12,1181,10,2,47,15,2,0/0,5,5,0.76,21.3,0,1,1,0.15,27,21,22,1,0,31.91,2014,reg,0,200000.04,200000.04
3147,will bruin,SEA,F,27,24,2074,10,1,68,31,5,0/0,8,2,0.43,14.7,0,1,0,0.04,18,10,9,3,0,45.59,2014,reg,0,127500,172500
3148,deshorn brown,COL,F,30,26,2288,10,0,121,46,1,0/1,6,4,0.39,8.3,0,0,0,0.0,31,30,33,2,0,38.02,2014,reg,0,75000,123000
3150,lamar neagle,SEA,M,32,27,2248,9,9,49,28,2,0/0,4,5,0.36,18.4,0,5,4,0.36,41,46,14,3,0,57.14,2014,reg,1,110000,110000
3151,fanendo adi,CLB,F,24,18,1512,9,4,53,24,2,0/0,4,5,0.54,17.0,0,3,1,0.24,27,41,23,1,0,45.28,2014,reg,0,580800,593300
3152,marco di vaio,MTL,F,26,17,1739,9,4,75,32,1,0/1,7,2,0.47,12.0,1,3,1,0.21,11,25,33,1,0,42.67,2014,reg,0,1500000,2600000
3154,quincy amarikwa,CHI,F,32,29,2549,8,5,76,29,1,0/0,2,6,0.28,10.5,0,4,1,0.18,57,101,27,6,1,38.16,2014,reg,0,60000,60000
3155,justin meram,RSL,M,32,19,1683,8,4,52,21,3,0/0,5,3,0.43,15.4,2,2,2,0.21,27,30,1,2,0,40.38,2014,reg,1,67452,91827
3156,conor casey,PHI,F,25,18,1434,8,2,39,17,3,1/1,5,3,0.5,20.5,1,2,0,0.13,37,24,15,1,0,43.59,2014,reg,0,192500,192500
3157,alvaro saborio,RSL,F,16,13,1148,8,2,47,18,4,2/3,6,2,0.63,17.0,1,0,2,0.16,25,18,20,3,0,38.3,2014,reg,1,360000,453333.33
3158,jack mcinerney,MTL,F,30,25,2116,8,2,56,19,2,0/0,6,2,0.34,14.3,0,1,1,0.09,21,19,18,2,0,33.93,2014,reg,0,230000,294166.67
3161,mike magee,CHI,M,17,17,1519,7,4,40,16,2,3/5,6,1,0.41,17.5,1,2,2,0.24,15,25,7,4,0,40.0,2014,reg,0,350000,417500
3162,andrew wenger,MTL,D-M,32,22,2120,7,4,66,27,0,0/0,5,2,0.3,10.6,2,2,2,0.17,35,22,21,1,1,40.91,2014,reg,0,140000,242000
3163,tesho akindele,ORL,F-M,26,18,1748,7,3,30,16,1,0/0,2,5,0.36,23.3,2,2,1,0.15,18,21,9,2,0,53.33,2014,reg,1,48500,48500
3165,gaston fernandez,POR,M,32,17,1562,7,2,37,17,0,0/0,5,2,0.4,18.9,1,0,2,0.12,23,43,10,3,0,45.95,2014,reg,0,150000,150000
3166,chad barrett,SEA,F,26,8,867,7,1,30,14,3,0/0,3,4,0.73,23.3,1,0,1,0.1,19,6,9,2,0,46.67,2014,reg,1,80000,85000
3167,luke mulholland,RSL,M,31,24,1987,6,7,41,13,1,0/0,3,3,0.27,14.6,2,5,2,0.32,25,49,2,4,1,31.71,2014,reg,1,55000,56250
3168,chris rolfe,CHI,F,23,21,1755,6,6,34,13,3,0/0,4,2,0.31,17.6,2,4,2,0.31,12,21,0,0,0,38.24,2014,reg,1,210000,225000
3169,marco pappa,SEA,M,29,24,1931,6,5,62,21,2,0/0,5,1,0.28,9.7,4,3,2,0.23,34,34,1,3,0,33.87,2014,reg,1,75000,75000
3170,luke moore,CHV,F,33,24,2164,6,4,58,23,1,0/0,3,3,0.25,10.3,0,1,3,0.17,34,47,4,2,1,39.66,2014,reg,0,120000,128333.33
3171,andres romero,MTL,M,29,25,2185,6,3,31,20,1,0/0,4,2,0.25,19.4,0,1,2,0.12,37,20,5,3,0,64.52,2014,reg,0,60000,60000
3172,jeff larentowicz,ATL,M,33,33,2970,6,3,43,19,0,4/5,5,1,0.18,14.0,1,2,1,0.09,51,23,0,2,0,44.19,2014,reg,0,245000,251000
3173,darren mattocks,VAN,F,30,20,1802,6,3,54,23,0,1/2,4,2,0.3,11.1,1,2,1,0.15,24,33,15,2,0,42.59,2014,reg,0,140000,232000
3174,will johnson,POR,D,29,29,2526,6,2,59,21,0,3/3,4,2,0.21,10.2,0,2,0,0.07,25,43,3,4,0,35.59,2014,reg,0,300000,325000
3175,bernardo anor,CLB,M,27,18,1672,6,1,53,19,3,0/0,6,0,0.32,11.3,1,0,1,0.05,32,21,2,5,2,35.85,2014,reg,1,48825,48825
3177,dillon powers,COL,M,30,27,2328,5,9,33,12,1,3/3,4,1,0.19,15.2,1,5,4,0.35,25,63,4,2,0,36.36,2014,reg,0,95150,127650
3178,graham zusi,SKC,M,25,24,2151,5,8,32,13,1,0/0,2,3,0.21,15.6,2,4,4,0.33,24,43,3,3,0,40.62,2014,reg,0,600000,631388.89
3179,stefan ishizaki,LA ,M,30,22,1898,5,7,35,15,0,0/0,1,4,0.24,14.3,3,5,2,0.33,21,20,3,2,0,42.86,2014,reg,1,200000,213000
3180,kelyn rowe,NE,M,27,21,1960,5,5,59,15,0,0/0,2,3,0.23,8.5,2,4,1,0.23,19,40,3,3,0,25.42,2014,reg,1,100000,181000
3181,perry kitchen,LA,M,31,31,2790,5,4,18,11,2,0/0,2,3,0.16,27.8,1,3,1,0.13,65,30,0,11,0,61.11,2014,reg,1,143500,228950
3182,baggio husidic,LA ,M,34,26,2197,5,4,44,9,0,0/0,4,1,0.2,11.4,0,3,1,0.16,23,29,1,3,0,20.45,2014,reg,1,90000,90000
3183,diego fagundez,NE,M,31,25,2142,5,4,67,23,1,0/0,4,1,0.21,7.5,1,3,1,0.17,22,14,7,2,0,34.33,2014,reg,1,110000,137200
3184,erik hurtado,SKC,F,30,19,1805,5,3,55,22,1,0/0,1,4,0.25,9.1,1,2,1,0.15,31,21,19,1,0,40.0,2014,reg,0,51150,86150
3185,peguy luyindula,NY ,F,26,15,1385,5,1,23,12,0,1/2,2,3,0.32,21.7,0,1,0,0.06,15,23,8,2,0,52.17,2014,reg,1,90000,90000
