,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
477,nick labrocca,COL,M,30,28,2396,2,0,24,11,1,0/0,0,2,0.08,8.3,0,0,0,0.0,33,23,2,3,0,45.83,2008,reg,0,12900,12900
478,terry cooke,COL,M,24,18,1698,1,12,22,8,1,0/1,1,0,0.05,4.5,1,7,5,0.64,5,9,2,2,0,36.36,2008,reg,0,167500,172500
479,chris klein,LA ,M,30,30,2685,1,7,19,6,0,0/0,0,1,0.03,5.3,0,5,2,0.23,24,15,0,1,0,31.58,2008,reg,0,150000,150000
480,devon mctavish,DC ,D,26,25,2223,1,4,11,5,0,0/0,0,1,0.04,9.1,0,4,0,0.16,29,17,2,6,0,45.45,2008,reg,0,33000,33000
481,ivan guerrero,DC ,M,27,26,2163,1,4,16,6,1,0/0,1,0,0.04,6.3,2,3,1,0.17,15,27,5,2,0,37.5,2008,reg,0,140000,147000
482,mehdi ballouchy,COL,M,19,12,1200,1,4,20,5,0,0/0,1,0,0.08,5.0,1,2,2,0.3,12,20,4,1,0,25.0,2008,reg,0,75000,93000
483,frankie hejduk,CLB,D,24,24,2135,1,4,22,11,0,0/0,1,0,0.04,4.5,2,3,1,0.17,28,37,1,9,1,50.0,2008,reg,1,150000,175000
484,seth stammler,NY ,M-D,26,26,2195,1,4,25,9,0,0/0,0,1,0.04,4.0,2,4,0,0.16,37,15,1,5,0,36.0,2008,reg,1,105000,105000
485,peter vagenas,LA ,M,14,11,933,1,3,7,1,0,0/0,1,0,0.1,14.3,1,2,1,0.29,14,19,0,3,0,14.29,2008,reg,0,144000,144000
486,roger espinoza,SKC,M,22,12,1169,1,3,16,6,0,0/0,0,1,0.08,6.3,1,2,1,0.23,15,21,6,3,2,37.5,2008,reg,1,45000,78750
487,jim brennan,TOR,D,28,27,2462,1,3,18,7,0,0/0,0,1,0.04,5.6,0,1,2,0.11,18,8,5,5,0,38.89,2008,reg,0,175000,183250
489,andy williams,RSL,M,26,16,1602,1,3,41,10,0,0/0,0,1,0.06,2.4,2,3,0,0.17,28,23,3,0,1,24.39,2008,reg,1,80000,80000
490,macoumba kandji,NY ,F,5,2,270,1,2,5,3,0,0/0,0,1,0.33,20.0,0,2,0,0.67,2,4,2,1,0,60.0,2008,reg,1,36000,56988.37
491,gonzalo martinez,DC ,D,26,22,2102,1,2,9,2,1,0/0,1,0,0.04,11.1,0,1,1,0.09,29,18,1,6,1,22.22,2008,reg,0,228000,244750
