,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
525,Travis Worra,DC,GK,13,13,1170,52,34,18,1.38,0/0,3,6,4,4,23.1,65.4,2016,reg,1,53472,53472
526,Matt Lampson,CLB,GK,11,11,990,76,55,18,1.64,1/1,1,6,4,3,9.1,72.4,2016,reg,0,71250,76625
527,Tyler Deric,HOU,GK,10,10,772,37,31,6,0.6,0/0,2,2,4,4,20.0,83.8,2016,reg,0,170000,170000
529,Alec Kann,ATL,GK,7,7,630,28,17,11,1.57,0/0,2,2,3,2,28.6,60.7,2016,reg,1,63000,63000
530,Jesse Gonzalez,DAL,GK,6,6,540,22,12,11,1.83,0/0,3,3,0,2,50.0,54.5,2016,reg,1,67500,76875
531,Jeff Attinella,POR,GK,4,4,360,13,8,6,1.5,1/1,1,3,0,0,25.0,61.5,2016,reg,1,90000,95083.33
532,Dan Kennedy,LA,GK,3,2,115,7,4,3,1.5,0/0,0,0,1,0,0.0,57.1,2016,reg,1,180000,195400
533,Eric Kronberg,MTL,GK,2,1,128,5,2,3,3.0,1/1,0,0,1,0,0.0,40.0,2016,reg,1,145200,145200
534,Clement Diop,MTL,GK,2,2,180,15,11,3,1.5,1/1,0,1,1,0,0.0,73.3,2016,reg,1,62500,62500
535,Brad Stuver,NYC,GK,2,2,180,15,8,7,3.5,0/1,0,2,0,0,0.0,53.3,2016,reg,0,63000,63000
536,Andrew Tarbell,CLB,GK,1,0,45,2,1,1,1.0,1/1,0,0,0,0,0.0,50.0,2016,reg,0,70000,84000
537,Patrick McLain,CHI,GK,1,1,90,6,3,3,3.0,1/1,0,1,0,0,0.0,50.0,2016,reg,0,72500,72500
538,John McCarthy,MIA,GK,1,1,90,5,3,3,3.0,0/0,0,1,0,0,0.0,60.0,2016,reg,1,79000,88250
539,Matt Jones,PHI,GK,1,1,90,5,2,2,2.0,0/0,1,0,0,0,100.0,40.0,2016,reg,1,75000,80625
540,Tyler Miller,MIN,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0,2016,reg,1,62508,62508
542,Eirik Johansen,NYC,GK,1,1,90,6,5,1,1.0,0/0,1,0,0,0,100.0,83.3,2016,reg,1,62500,62500
543,Paolo Tornaghi,VAN,GK,1,1,90,6,6,0,0.0,0/0,0,0,1,1,0.0,100.0,2016,reg,0,62500,62500
544,Andrew Dykstra,DC ,GK,1,1,90,7,3,4,4.0,1/1,0,1,0,0,0.0,42.9,2016,reg,1,75000,85700
545,Chris Konopka,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,62499.96,64999.96
547,Kyle Reynish,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,62500,62500
548,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,63000,63000
549,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,75246.15,76496.15
550,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,63000,63000
553,Zack Steffen,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,100008,100008
554,Charlie Horton,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,69999.96,76166.63
555,Ryan Herman,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,62508,62508
556,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,63000,63000
557,John Berner,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,63000,63000
559,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,52500,52500
561,Matt Pacifici,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,51499.92,51499.92
562,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,62508,62508
563,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,51500.04,51500.04
564,Charlie Lyon,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,1,52500,52500
565,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,51500,51500
566,Wade Hamilton,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,51504,51504
567,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,0,51500,51500
568,Luis Robles,MIA,GK,34,34,3060,149,99,47,1.38,8/9,14,12,8,10,41.2,66.4,2017,reg,1,430000.08,430000.08
569,Zack Steffen,CLB,GK,34,34,3060,150,98,49,1.44,4/7,16,12,6,9,47.1,65.3,2017,reg,1,105000,105000
570,Bobby Shuttleworth,CHI,GK,33,32,2838,174,116,60,1.88,6/8,10,16,5,5,30.3,66.7,2017,reg,0,155000,171875
571,Stefan Frei,SEA,GK,33,33,2970,121,84,36,1.09,5/6,13,9,11,13,39.4,69.4,2017,reg,1,250000,256250
572,Joe Bendik,PHI,GK,33,33,2970,173,118,52,1.58,4/5,10,14,9,7,30.3,68.2,2017,reg,0,165000,174083.4
573,Sean Johnson,NYC,GK,32,32,2880,137,96,39,1.22,3/4,15,8,9,7,46.9,70.1,2017,reg,1,220008,220008
574,Tim Melia,SKC,GK,31,31,2759,116,91,24,0.77,2/5,12,7,11,10,38.7,78.4,2017,reg,1,165000,167500
575,Evan Bush,MTL,GK,31,31,2790,136,84,50,1.61,3/3,11,14,6,5,35.5,61.8,2017,reg,0,136750,136750
576,Alex Bono,TOR,GK,29,28,2570,104,72,32,1.14,3/5,19,4,6,10,65.5,69.2,2017,reg,1,70000,90200
577,Jesse Gonzalez,DAL,GK,29,29,2610,118,75,40,1.38,1/1,8,8,13,9,27.6,63.6,2017,reg,0,85000.08,109000.08
578,David Ousted,VAN,GK,28,28,2453,132,90,39,1.39,4/4,13,8,6,6,46.4,68.2,2017,reg,1,360000,378933.33
579,Nick Rimando,RSL,GK,28,28,2488,110,73,33,1.18,1/3,13,10,5,8,46.4,66.4,2017,reg,0,450000,470000
581,Tyler Deric,HOU,GK,26,26,2340,109,76,31,1.19,2/2,10,6,10,6,38.5,69.7,2017,reg,1,185000,185000
582,Andre Blake,PHI,GK,26,26,2340,125,88,34,1.31,4/5,9,10,7,9,34.6,70.4,2017,reg,0,148500,186500
583,Tim Howard,COL,GK,25,25,2250,126,84,39,1.56,5/6,7,14,4,5,28.0,66.7,2017,reg,0,2000000,2475000
584,Bill Hamid,DC,GK,24,24,2160,132,98,35,1.46,3/4,8,12,4,6,33.3,74.2,2017,reg,0,350000,395500
585,Matt Lampson,CLB,GK,24,24,2160,91,58,31,1.29,3/3,12,7,5,8,50.0,63.7,2017,reg,1,76000,81375
586,David Bingham,LA,GK,23,23,2070,94,58,35,1.52,2/2,9,9,5,7,39.1,61.7,2017,reg,1,190000,197750
587,Jake Gleeson,POR,GK,21,21,1818,83,52,30,1.43,3/3,8,6,6,3,38.1,62.7,2017,reg,1,110000,115166.67
588,Alec Kann,ATL,GK,18,18,1620,83,56,25,1.39,4/4,8,7,3,4,44.4,67.5,2017,reg,1,77004,77004
589,Clement Diop,MTL,GK,15,15,1331,89,54,31,2.07,1/1,4,8,3,2,26.7,60.7,2017,reg,0,65625,65625
591,Jeff Attinella,POR,GK,14,13,1242,64,45,20,1.54,0/1,7,5,2,4,50.0,70.3,2017,reg,1,100000,105083.33
592,Brad Guzan,ATL,GK,14,14,1260,47,38,10,0.71,1/1,6,1,7,8,42.9,80.9,2017,reg,1,340008,400008
593,Andrew Tarbell,CLB,GK,11,11,990,65,40,25,2.27,0/1,4,5,2,2,36.4,61.5,2017,reg,1,80000,94000
594,Zac MacMath,RSL,GK,9,9,810,40,27,12,1.33,2/2,2,5,2,1,22.2,67.5,2017,reg,0,150000,150000
595,Joe Willis,NSH,GK,8,8,720,31,17,14,1.75,1/1,3,4,1,2,37.5,54.8,2017,reg,1,106312.5,106312.5
596,Jorge Rodrigo Bava,CHI,GK,8,8,720,31,20,12,1.5,0/0,3,3,2,3,37.5,64.5,2017,reg,1,240000,267133.34
597,John McCarthy,MIA,GK,8,8,720,49,34,13,1.63,2/2,2,4,2,1,25.0,69.4,2017,reg,0,86500,95750
599,Matt Van Oekel,RSL,GK,7,6,572,47,25,22,3.67,1/1,0,5,1,1,0.0,53.2,2017,reg,0,96000,96000
600,Clint Irwin,COL,GK,6,6,490,18,13,5,0.83,0/1,1,1,3,2,16.7,72.2,2017,reg,1,200004,211316.7
601,Brad Knighton,NE,GK,6,6,540,31,20,11,1.83,1/1,3,1,2,1,50.0,64.5,2017,reg,0,100910.25,100910.25
602,Chris Seitz,DC,GK,5,5,450,20,12,8,1.6,2/3,3,2,0,0,60.0,60.0,2017,reg,0,153000,153000
603,Stefan Marinovic,VAN,GK,5,5,450,27,21,5,1.0,0/1,2,2,1,1,40.0,77.8,2017,reg,1,65000.04,77562.54
605,Travis Worra,DC,GK,5,5,450,26,11,14,2.8,0/0,0,5,0,0,0.0,42.3,2017,reg,0,65625,65625
606,Andrew Dykstra,KC ,GK,4,3,301,14,10,5,1.67,0/0,0,2,2,1,0.0,71.4,2017,reg,1,80004,87654.51
608,Maxime Crepeau,VAN,GK,3,3,270,19,10,8,2.67,1/2,0,3,0,0,0.0,52.6,2017,reg,0,75000,79083.33
609,Kyle Reynish,ATL,GK,2,2,150,5,2,3,1.5,0/0,1,0,0,0,50.0,40.0,2017,reg,1,65004,65004
611,Eirik Johansen,NYC,GK,2,2,180,7,3,4,2.0,0/0,1,1,0,0,50.0,42.9,2017,reg,1,65625,65625
612,Alexander Tambakis,ATL,GK,1,0,28,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2017,reg,1,65004,65004
615,Spencer Richey,CIN,GK,1,1,90,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2017,reg,1,65004,65004
616,Tyler Miller,MIN,GK,1,1,90,8,5,3,3.0,0/0,1,0,0,0,100.0,62.5,2017,reg,1,65633.4,65633.4
617,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,65004,65004
618,John Berner,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,66150,66150
619,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,65000,65000
621,Adrian Zendejas,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,53000,53000
622,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,53000,53000
623,Connor Sparrow,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,53004,53004
624,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,65633.4,65633.4
625,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,54075,54075
626,Eduardo Cortes,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,65004,65004
627,Evan Louro,NYR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,53004,53004
628,Eric Klenofsky,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,53004,56754
629,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,53004,53004
630,Logan Ketterer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,53004,53004
631,Alex Kapp,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,53004,53004
633,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,80004,80004
635,Patrick McLain,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,80000,80000
636,Mark Pais,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,65004,65004
637,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,53000,53000
638,Josh Saunders,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,150000,150000
639,Eric Kronberg,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,0,99999.96,104999.96
640,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,66150,66150
641,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,1,100008,105008
643,Tim Melia,SKC,GK,34,34,3060,148,106,40,1.18,5/8,18,8,8,13,52.9,71.6,2018,reg,1,300000,316666.67
644,David Bingham,LA,GK,34,34,3060,186,121,64,1.88,6/8,13,12,9,8,38.2,65.1,2018,reg,0,275000.04,275000.04
645,Evan Bush,MTL,GK,34,34,3060,184,132,53,1.56,6/8,14,16,4,10,41.2,71.7,2018,reg,0,157925,157925
646,Tim Howard,COL,GK,33,33,2900,179,119,58,1.76,3/3,8,17,7,6,24.2,66.5,2018,reg,0,2000000,2475000
647,Brad Guzan,ATL,GK,33,33,2914,123,81,41,1.24,6/7,20,6,6,8,60.6,65.9,2018,reg,1,640008,700008
648,Nick Rimando,RSL,GK,33,33,2925,165,103,57,1.73,5/7,13,13,7,7,39.4,62.4,2018,reg,1,399999.96,422499.96
649,Stefan Frei,SEA,GK,33,33,2970,150,114,34,1.03,2/2,18,10,5,7,54.5,76.0,2018,reg,1,250000.08,262500.08
650,Andre Blake,PHI,GK,33,33,2970,170,118,50,1.52,8/8,14,14,5,10,42.4,69.4,2018,reg,0,450000,500000
651,Tyler Miller,MIN,GK,33,33,2970,169,114,50,1.52,5/7,16,8,9,10,48.5,67.5,2018,reg,0,68915.07,68915.07
652,Sean Johnson,NYC,GK,32,32,2880,141,100,41,1.28,1/3,15,10,7,10,46.9,70.9,2018,reg,1,250008,250008
653,Luis Robles,MIA,GK,31,31,2790,115,84,30,0.97,2/3,21,6,4,14,67.7,73.0,2018,reg,1,460000.08,460000.08
654,Andrew Tarbell,CLB,GK,29,29,2610,152,87,60,2.07,1/2,4,17,8,1,13.8,57.2,2018,reg,0,88000,102000
655,Zack Steffen,CLB,GK,29,29,2610,103,66,37,1.28,4/4,12,10,7,10,41.4,64.1,2018,reg,1,145000,145000
656,Alex Bono,TOR,GK,27,27,2430,137,90,45,1.67,5/6,9,12,6,3,33.3,65.7,2018,reg,0,132000,164000
657,Matt Turner,NE,GK,27,27,2430,126,83,42,1.56,3/4,8,10,9,5,29.6,65.9,2018,reg,0,67500,67500
658,Joe Willis,NSH,GK,26,26,2340,124,82,42,1.62,5/7,9,11,6,4,34.6,66.1,2018,reg,0,124999.92,132749.92
659,Richard Sanchez,SKC,GK,25,24,2207,128,79,47,1.96,4/4,6,13,6,3,24.0,61.7,2018,reg,0,130000.08,132500.08
660,Joe Bendik,PHI,GK,25,24,2218,142,84,58,2.42,5/6,6,17,2,1,24.0,59.2,2018,reg,0,180000,189083.4
661,Bobby Shuttleworth,CHI,GK,25,25,2250,155,103,51,2.04,4/4,9,13,3,2,36.0,66.5,2018,reg,0,165000,181875
662,Stefan Marinovic,VAN,GK,24,24,2160,112,65,45,1.88,7/9,10,10,4,2,41.7,58.0,2018,reg,0,150000,162562.5
663,Jeff Attinella,POR,GK,22,22,1944,85,64,23,1.05,1/1,10,5,5,7,45.5,75.3,2018,reg,1,114999.96,123999.96
664,Jesse Gonzalez,DAL,GK,21,21,1890,92,63,28,1.33,3/5,11,7,3,6,52.4,68.5,2018,reg,0,187500,211500
665,David Ousted,DC,GK,17,17,1530,81,48,32,1.88,1/2,4,7,6,0,23.5,59.3,2018,reg,0,350000.04,369166.71
666,Bill Hamid,DC,GK,14,14,1260,63,51,12,0.86,0/0,9,2,3,5,64.3,81.0,2018,reg,0,67500,93175
667,Jimmy Maurer,DAL,GK,13,13,1170,47,32,16,1.23,2/2,5,2,6,4,38.5,68.1,2018,reg,0,120000,122500
668,Steve Clark,POR,GK,11,9,846,61,44,17,1.89,0/0,5,4,2,3,45.5,72.1,2018,reg,1,120000,130000
670,Matt Lampson,CLB,GK,9,9,810,54,31,20,2.22,1/1,2,7,0,0,22.2,57.4,2018,reg,0,100000.08,107500.08
671,Brad Knighton,NE,GK,7,7,630,46,33,13,1.86,1/1,2,3,2,2,28.6,71.7,2018,reg,0,105955.56,110955.56
672,Clint Irwin,COL,GK,7,7,630,47,27,19,2.71,1/1,1,6,0,0,14.3,57.4,2018,reg,0,210000,221312.7
673,Chris Seitz,DC,GK,6,6,540,23,14,9,1.5,1/2,1,3,2,1,16.7,60.9,2018,reg,0,155004,155004
674,Jake Gleeson,POR,GK,6,6,540,29,15,14,2.33,1/1,1,3,2,0,16.7,51.7,2018,reg,1,120000,125166.67
676,Patrick McLain,CHI,GK,5,5,403,20,13,6,1.2,1/1,1,2,1,1,20.0,65.0,2018,reg,0,67500,67500
677,JT Marcinkowski,SJ,GK,5,5,450,32,20,11,2.2,1/1,0,4,1,1,0.0,62.5,2018,reg,0,120000,132000
678,Adam Grinwis,ORL,GK,5,5,450,20,14,6,1.2,0/1,1,3,1,1,20.0,70.0,2018,reg,0,67500,67500
680,Stefan Cleveland,SEA,GK,5,5,450,33,25,8,1.6,1/1,1,3,1,0,20.0,75.8,2018,reg,0,55654.2,55654.2
681,Ryan Meara,RBNY,GK,3,3,270,16,12,3,1.0,0/1,1,1,1,1,33.3,75.0,2018,reg,1,120000,125000
682,Andrew Putna,RSL,GK,2,1,135,7,6,1,1.0,0/0,1,0,0,0,50.0,85.7,2018,reg,1,67500,67500
683,Zac MacMath,RSL,GK,2,1,158,16,9,5,5.0,2/2,0,2,0,0,0.0,56.3,2018,reg,0,170000,170000
684,Tyler Deric,HOU,GK,2,2,180,14,7,7,3.5,1/1,0,2,0,0,0.0,50.0,2018,reg,0,67500,67500
685,Brad Stuver,NYC,GK,2,2,180,9,5,4,2.0,0/0,1,0,1,0,50.0,55.6,2018,reg,1,84999.96,84999.96
687,Alec Kann,ATL,GK,1,1,90,6,5,1,1.0,0/0,1,0,0,0,100.0,83.3,2018,reg,1,94008,94008
688,John McCarthy,MIA,GK,1,1,90,6,6,0,0.0,0/0,1,0,0,1,100.0,100.0,2018,reg,0,95000,104250
689,Luis Lopez,LFC,GK,1,1,90,5,3,2,2.0,1/1,0,1,0,0,0.0,60.0,2018,reg,0,70000.08,147500.08
690,Bryan Meredith,VAN,GK,1,1,90,6,3,3,3.0,0/0,0,1,0,0,0.0,50.0,2018,reg,1,67500,67500
691,Sean Melvin,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,54500.04,54500.04
692,Quillan Roberts,LFC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,67500,67500
693,Brian Sylvestre,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,67500,67500
694,Cody Cropper,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,73828.13,73828.13
695,Clement Diop,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,90000,97290
696,Alex Horwath,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,67500,73362.5
697,Andrew Dykstra,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,100008,107658.51
698,Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,67500,67500
699,Jake McGuire,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,55654.2,55654.2
700,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,68254.2,68254.2
701,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,55650,55650
702,Mitch Hildebrandt,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,67500,67500
703,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,67500,67500
705,Evan Louro,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,55654.2,55654.2
706,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,54500.04,54500.04
707,James Pantemis,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,54500.04,55000.04
708,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,68915.07,68915.07
709,Calle Brown,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,67500,67500
710,Adrian Zendejas,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,55650,55650
711,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,67500,67500
712,Connor Sparrow,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,54504,54504
713,Travis Worra,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,68906.25,68906.25
714,Charlie Lyon,LFC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,67500,67500
715,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,54500.04,54500.04
716,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,54500.04,54500.04
717,Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,54500.04,54500.04
718,Logan Ketterer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,67500,67500
719,Alex Kapp,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,0,55654.2,55654.2
720,Eric Dick,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,54500.04,57949.58
721,Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,1,54500.04,54500.04
722,Vito Mannone,MIN,GK,34,34,3060,175,129,43,1.26,3/4,15,11,8,11,44.1,73.7,2019,reg,1,540000.0,594000.0
723,Brad Guzan,ATL,GK,34,34,3060,135,91,43,1.26,3/5,18,12,4,14,52.9,67.4,2019,reg,1,680004.0,740004.0
724,Daniel Vega,SJ,GK,34,34,3060,164,108,55,1.62,4/7,13,16,5,7,38.2,65.9,2019,reg,0,200000.04,210000.04
725,Stefan Frei,SEA,GK,34,34,3060,165,116,49,1.44,5/5,16,10,8,10,47.1,70.3,2019,reg,1,325000.08,337500.08
726,Bill Hamid,DC,GK,33,33,2970,168,126,37,1.12,1/5,12,10,11,14,36.4,75.0,2019,reg,1,461820.0,487495.0
727,Luis Robles,MIA,GK,33,33,2970,138,88,50,1.52,6/7,13,14,6,9,39.4,63.8,2019,reg,1,490000.08,490000.08
728,David Bingham,LA,GK,33,33,2970,195,141,55,1.67,6/8,16,14,3,8,48.5,72.3,2019,reg,1,375000.0,375000.0
729,Tim Melia,SKC,GK,32,32,2880,173,111,60,1.88,1/4,10,15,7,6,31.3,64.2,2019,reg,0,325008.0,341674.67
730,Evan Bush,MTL,GK,32,32,2880,144,84,59,1.84,6/7,11,17,4,7,34.4,58.3,2019,reg,0,232000.08,294666.75
732,Jesse Gonzalez,DAL,GK,32,32,2880,128,84,42,1.31,5/7,13,11,8,8,40.6,65.6,2019,reg,1,217500.0,231500.0
733,Sean Johnson,NYC,GK,29,29,2610,116,78,36,1.24,8/10,14,5,10,7,48.3,67.2,2019,reg,1,399999.96,399999.96
734,Nick Rimando,RSL,GK,29,29,2610,113,75,35,1.21,3/4,14,11,4,10,48.3,66.4,2019,reg,1,300000.0,322500.0
735,Quentin Westberg,TOR,GK,28,28,2505,115,75,41,1.46,7/10,9,9,9,4,32.1,65.2,2019,reg,1,100000.08,115254.08
736,Tyler Miller,MIN,GK,28,28,2520,103,72,28,1.0,2/2,18,2,8,9,64.3,69.9,2019,reg,1,77565.0,77565.0
737,Joe Willis,NSH,GK,27,27,2430,133,88,44,1.63,7/7,10,13,4,3,37.0,66.2,2019,reg,0,165000.0,172833.33
738,Andre Blake,PHI,GK,26,26,2304,103,59,41,1.58,3/4,11,10,5,3,42.3,57.3,2019,reg,1,500004.0,550004.0
739,Maxime Crepeau,VAN,GK,26,26,2340,159,114,46,1.77,7/7,7,13,6,5,26.9,71.7,2019,reg,0,90000.0,94083.33
740,Tim Howard,COL,GK,25,25,2159,117,73,46,1.84,5/6,8,12,4,5,32.0,62.4,2019,reg,0,2000000.04,2475000.04
741,Steve Clark,POR,GK,24,24,2160,109,84,25,1.04,3/4,13,6,5,6,54.2,77.1,2019,reg,1,140000.04,140000.04
742,Matt Turner,NE,GK,20,20,1766,116,87,27,1.35,1/1,8,4,7,5,40.0,75.0,2019,reg,1,75937.56,75937.56
743,Kenneth Kronholm,CHI,GK,20,20,1800,87,58,27,1.35,3/3,6,6,8,5,30.0,66.7,2019,reg,0,87996.0,150996.0
744,Spencer Richey,CIN,GK,19,19,1710,106,61,45,2.37,2/5,5,12,2,2,26.3,57.5,2019,reg,0,71666.88,71666.88
745,Przemyslaw Tyton,CIN,GK,15,15,1350,62,32,30,2.0,1/2,1,10,4,3,6.7,51.6,2019,reg,0,231750.0,328438.0
746,David Ousted,CHI,GK,14,14,1260,56,34,20,1.43,1/2,4,6,4,4,28.6,60.7,2019,reg,0,268181.88,361136.43
748,Eloy Room,CLB,GK,12,12,1080,47,33,14,1.17,2/2,5,2,5,1,41.7,70.2,2019,reg,0,300000.0,354694.33
749,Clint Irwin,COL,GK,11,9,901,58,42,17,1.89,2/3,4,4,2,1,36.4,72.4,2019,reg,0,126000.0,138707.24
750,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,3/3,1,7,2,0,10.0,62.5,2019,reg,1,174999.96,187249.96
751,Brad Knighton,NE,GK,8,7,662,29,16,13,1.86,1/1,1,3,4,0,12.5,55.2,2019,reg,1,111253.32,116253.32
