,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Base Salary,Base Guaranteed Comp.
0,Jimmy Nielsen,KC ,GK,34,34,3060,102,77,27,0.79,3/4,18,7,9,15,52.9,75.5,2012,reg,200000,220000
1,Donovan Ricketts,MTL,GK,33,33,2913,143,87,52,1.58,8/8,12,14,5,5,36.4,60.8,2012,reg,250000,275000
2,Andy Gruenebaum,CLB,GK,33,33,2920,166,124,41,1.24,3/4,13,12,7,8,39.4,74.7,2012,reg,77000,78666.67
3,Tally Hall,HOU,GK,33,33,2946,129,88,39,1.18,5/5,14,8,11,12,42.4,68.2,2012,reg,120000,129375
4,Jon Busch,SJ ,GK,32,32,2835,123,77,40,1.25,4/5,17,5,9,7,53.1,62.6,2012,reg,155004,166337.33
5,Matt Pickens,COL,GK,32,32,2859,155,107,49,1.53,1/2,9,19,4,7,28.1,69.0,2012,reg,178538,181038
6,Dan Kennedy,CHV,GK,32,32,2880,167,109,54,1.69,2/2,7,17,8,7,21.9,65.3,2012,reg,175000,175000
7,Zac MacMath,RSL,GK,32,32,2880,139,93,43,1.34,3/4,10,17,5,8,31.3,66.9,2012,reg,90000,135000
8,Sean Johnson,NYC,GK,31,31,2766,143,108,38,1.23,2/3,16,10,5,5,51.6,75.5,2012,reg,90000,123000
9,Troy Perkins,MTL,GK,31,31,2767,148,101,43,1.39,4/4,8,14,8,7,25.8,68.2,2012,reg,190000,201833.33
10,Nick Rimando,RSL,GK,31,31,2790,116,83,33,1.06,2/4,16,11,4,12,51.6,71.6,2012,reg,170000,178250
11,Kevin Hartman,DAL,GK,30,30,2700,148,98,42,1.4,2/5,9,11,10,6,30.0,66.2,2012,reg,165000,185000
12,Matt Reis,NE ,GK,27,27,2430,133,92,39,1.44,3/3,6,14,7,6,22.2,69.2,2012,reg,157000,159666.67
13,Josh Saunders,LA ,GK,27,27,2430,118,80,36,1.33,0/1,16,7,4,9,59.3,67.8,2012,reg,74545,77678.75
14,Milos Kocic,TOR,GK,27,27,2430,129,82,47,1.74,0/1,5,16,6,3,18.5,63.6,2012,reg,44100,44100
15,Joe Cannon,VAN,GK,26,26,2277,109,73,34,1.31,2/2,8,10,7,8,30.8,67.0,2012,reg,166250,175666.67
16,Bill Hamid,DC,GK,24,24,2087,113,88,24,1.0,1/1,13,6,4,8,54.2,77.9,2012,reg,70000,84750
17,Michael Gspurning,SEA,GK,21,21,1845,77,59,15,0.71,2/2,12,4,5,8,57.1,76.6,2012,reg,200000,275000
18,Ryan Meara,RBNY,GK,18,18,1620,90,59,27,1.5,1/1,9,5,4,3,50.0,65.6,2012,reg,33750,33750
19,Bill Gaudette,LA ,GK,15,15,1350,62,38,20,1.33,1/1,5,5,5,3,33.3,61.3,2012,reg,60000,63255
20,Bryan Meredith,VAN,GK,12,10,990,36,20,14,1.4,0/0,3,3,5,3,25.0,55.6,2012,reg,33750,33750
21,Joe Willis,NSH,GK,11,10,972,50,31,19,1.9,2/2,4,4,3,2,36.4,62.0,2012,reg,44100,44100
22,Brad Knighton,NE,GK,10,8,782,36,27,7,0.88,0/1,3,3,3,3,30.0,75.0,2012,reg,55000,55000
25,Joe Bendik,PHI,GK,5,3,326,21,11,8,2.67,2/2,0,2,3,0,0.0,52.4,2012,reg,44000,44000
26,Brian Perk,LA ,GK,4,4,360,13,7,7,1.75,2/2,0,3,1,0,0.0,53.8,2012,reg,76000,110100
27,Chris Seitz,DC,GK,4,4,360,15,10,5,1.25,0/1,0,2,2,0,0.0,66.7,2012,reg,75000,75000
28,Luis Robles,MIA,GK,4,4,360,12,9,3,0.75,0/0,2,1,1,2,50.0,75.0,2012,reg,44000.04,46500.04
29,Matt Lampson,CLB,GK,3,1,140,10,7,3,3.0,1/1,2,0,0,0,66.7,70.0,2012,reg,44000,44000
30,Steward Ceus,COL,GK,3,2,201,5,4,1,0.5,0/0,2,0,0,2,66.7,80.0,2012,reg,44100,44100
31,Andrew Weber,SEA,GK,3,3,225,9,5,4,1.33,0/0,0,1,1,0,0.0,55.6,2012,reg,51996,58445.93
32,David Bingham,LA,GK,3,2,225,12,8,3,1.5,0/0,2,1,0,0,66.7,66.7,2012,reg,71000,115375
33,Paolo Tornaghi,CHI,GK,3,3,270,17,14,3,1.0,0/0,1,1,1,1,33.3,82.4,2012,reg,33750,33750
34,Kyle Reynish,RSL,GK,3,3,270,8,6,2,0.67,0/0,1,0,2,2,33.3,75.0,2012,reg,66000,74304
35,Tim Melia,SKC,GK,2,2,180,13,9,4,2.0,0/0,0,1,1,0,0.0,69.2,2012,reg,44000,44000
36,Greg Sutton,MTL,GK,1,0,24,1,0,1,1.0,0/0,0,1,0,0,0.0,0.0,2012,reg,65000,65000
37,Chris Konopka,PHI,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7,2012,reg,44000,44000
38,Tyler Deric,HOU,GK,1,1,90,9,7,2,2.0,0/0,0,1,0,0,0.0,77.8,2012,reg,44100,44100
39,Chase Harrison,PHI,GK,1,1,90,3,2,1,1.0,0/0,0,0,1,0,0.0,66.7,2012,reg,44000.04,44000.04
40,Evan Bush,MTL,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2012,reg,44000,44000
42,Jeremy Vuolo,NY ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,44000,44000
43,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,33750,33750
44,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,33750,33750
46,Patrick McLain,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,33750,33750
47,Scott Angevine,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,33756,33756
48,Tim Murray,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,44100,44100
50,Evan Newton,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,33756,33756
51,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,44000,44000
52,Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,33750,33750
53,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,62500,66125.78
54,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,44000,45000
55,Ian Joyce,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,44004,44004
56,Stefan Frei,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,120000,175000
57,Andrew Dykstra,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,44004,44004
58,Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,60000,60000
59,William Hesmer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,170000,181000
60,Jay Nolly,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,78250,78250
61,Eric Kronberg,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,69850,69850
62,Jimmy Nielsen,KC ,GK,34,34,3060,100,68,30,0.88,1/1,17,10,7,13,50.0,68.0,2013,reg,200000,220000
63,Luis Robles,MIA,GK,34,34,3060,147,103,41,1.21,7/10,17,9,8,11,50.0,70.1,2013,reg,75000,77500
64,Tally Hall,HOU,GK,34,34,3060,141,95,41,1.21,2/4,14,11,9,9,41.2,67.4,2013,reg,185000,198500
65,Zac MacMath,RSL,GK,34,34,3060,147,101,44,1.29,1/1,12,12,10,12,35.3,68.7,2013,reg,110000,155000
66,Joe Bendik,PHI,GK,33,33,2970,139,90,46,1.39,2/2,6,16,11,4,18.2,64.7,2013,reg,46500,46500
67,Troy Perkins,MTL,GK,33,33,2970,158,109,48,1.45,4/6,14,12,7,8,42.4,69.0,2013,reg,225000,246833.33
68,Jon Busch,SJ ,GK,33,33,2970,142,101,41,1.24,3/3,13,11,9,9,39.4,71.1,2013,reg,165000,176333.33
69,Clint Irwin,COL,GK,32,31,2873,132,91,35,1.13,6/8,14,9,9,10,43.8,68.9,2013,reg,35125,35125
70,Donovan Ricketts,POR,GK,32,32,2880,126,92,31,0.97,4/5,13,5,14,14,40.6,73.0,2013,reg,275000,300000
71,Dan Kennedy,CHV,GK,31,31,2754,166,104,54,1.74,3/4,6,17,8,3,19.4,62.7,2013,reg,192500,194166.67
72,Michael Gspurning,SEA,GK,28,28,2475,114,76,35,1.25,2/2,12,9,6,10,42.9,66.7,2013,reg,210000,285000
73,Sean Johnson,NYC,GK,28,28,2520,132,93,39,1.39,3/4,12,10,6,6,42.9,70.5,2013,reg,120000,153000
74,Nick Rimando,RSL,GK,27,27,2430,112,82,28,1.04,1/3,14,7,6,9,51.9,73.2,2013,reg,200000,210833.33
75,Raul Fernandez,DAL,GK,26,26,2340,129,88,41,1.58,2/3,7,10,9,7,26.9,68.2,2013,reg,150000,237500
76,Bill Hamid,DC,GK,25,25,2250,119,80,39,1.56,4/6,2,17,6,4,8.0,67.2,2013,reg,75000,89750
78,Carlo Cudicini,LA ,GK,21,21,1890,68,39,27,1.29,0/1,9,8,4,7,42.9,57.4,2013,reg,150000,150000
79,Andy Gruenebaum,CLB,GK,21,21,1890,100,71,28,1.33,2/2,5,11,5,4,23.8,71.0,2013,reg,92220,93886.67
80,David Ousted,VAN,GK,13,13,1170,54,37,16,1.23,1/1,4,5,4,4,30.8,68.5,2013,reg,150000,166156.25
81,Matt Lampson,CLB,GK,13,13,1170,63,43,18,1.38,3/3,7,6,0,5,53.8,68.3,2013,reg,46500,46500
82,Matt Reis,NE ,GK,12,12,995,37,29,8,0.67,0/0,7,0,4,5,58.3,78.4,2013,reg,165000,167666.67
83,Brad Knighton,NE,GK,11,11,990,50,35,15,1.36,2/2,6,3,2,2,54.5,70.0,2013,reg,66000,68600
84,Joe Cannon,VAN,GK,10,10,900,42,31,14,1.4,0/0,3,4,3,1,30.0,73.8,2013,reg,180500,189916.67
85,Jaime Penedo,LA ,GK,9,9,810,31,24,7,0.78,0/0,4,1,4,4,44.4,77.4,2013,reg,78000,81562.5
86,Joe Willis,NSH,GK,9,9,810,47,28,20,2.22,1/1,1,7,1,1,11.1,59.6,2013,reg,46500,46500
87,Chris Seitz,DC,GK,8,8,720,36,24,11,1.38,0/0,4,2,2,2,50.0,66.7,2013,reg,90000,90000
88,Paolo Tornaghi,CHI,GK,6,6,540,24,12,13,2.17,0/0,2,3,1,0,33.3,50.0,2013,reg,46500,46500
89,Jeff Attinella,POR,GK,5,4,399,24,14,9,2.25,3/3,1,2,1,1,20.0,58.3,2013,reg,46500,46500
91,Marcus Hahnemann,SEA,GK,4,4,360,10,6,4,1.0,0/0,2,2,0,1,50.0,60.0,2013,reg,60000,60000
93,Josh Saunders,RSL,GK,3,3,231,18,13,4,1.33,0/0,1,1,1,0,33.3,72.2,2013,reg,90000,95250
94,Matt Pickens,COL,GK,2,2,97,4,2,2,1.0,0/0,0,1,0,0,0.0,50.0,2013,reg,190000,212933.33
95,Patrick McLain,CHV,GK,2,1,124,10,4,6,6.0,1/1,0,1,0,0,0.0,40.0,2013,reg,46500,46500
96,Tim Melia,SKC,GK,2,2,180,15,8,7,3.5,1/1,0,2,0,0,0.0,53.3,2013,reg,60000,65000
97,Milos Kocic,POR,GK,2,2,180,10,7,2,1.0,0/0,1,0,1,1,50.0,70.0,2013,reg,49612,49612
98,Stefan Frei,SEA,GK,1,1,90,3,2,1,1.0,1/1,0,1,0,0,0.0,66.7,2013,reg,145000,200000
99,Steward Ceus,COL,GK,1,1,90,6,5,1,1.0,0/0,0,1,0,0,0.0,83.3,2013,reg,60000,70333.33
100,David Bingham,LA,GK,1,1,90,8,7,1,1.0,0/0,1,0,0,0,100.0,87.5,2013,reg,78100,122475
101,Evan Bush,MTL,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7,2013,reg,46500,46500
102,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,65000,66250
104,Luis Soffner,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,35125,35125
105,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,35125,35125
106,Daniel Withrow,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,35125,35125
107,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,35125,35125
108,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,35125,35125
109,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,35125,35125
110,Evan Newton,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,46500
111,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,60000,63263.75
112,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,63500
114,Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,80000,87666.67
115,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,46500
116,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,46500
118,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,46500
119,Simon Thomas,CAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,35125,35125
120,Andrew Dykstra,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,46500
121,Brian Perk,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,55000,58125
122,Eric Kronberg,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,76835,76835
123,Chris Konopka,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,46500
124,Kevin Hartman,NY ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,54000
125,Oka Nikolov,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,46500,46500
126,Jon Busch,SJ ,GK,34,34,3060,191,137,50,1.47,8/10,6,16,12,6,17.6,71.7,2014,reg,173250,184583.33
127,Luis Robles,MIA,GK,34,34,3060,171,111,50,1.47,8/10,13,10,11,6,38.2,64.9,2014,reg,100000,125000
128,David Ousted,VAN,GK,34,34,3060,140,96,40,1.18,5/5,12,8,14,13,35.3,68.6,2014,reg,250000,266156.25
129,Stefan Frei,SEA,GK,34,34,3060,149,99,50,1.47,6/7,20,10,4,9,58.8,66.4,2014,reg,150000,150000
131,Dan Kennedy,CHV,GK,33,33,2957,155,93,57,1.73,3/4,9,18,6,6,27.3,60.0,2014,reg,211750,213416.67
132,Sean Johnson,NYC,GK,33,33,2970,149,96,49,1.48,6/8,6,9,18,6,18.2,64.4,2014,reg,250000,253000
133,Donovan Ricketts,POR,GK,32,32,2861,151,105,44,1.38,7/7,12,7,12,7,37.5,69.5,2014,reg,260000,260000
135,Bill Hamid,DC,GK,30,30,2700,146,110,34,1.13,5/5,14,9,7,10,46.7,75.3,2014,reg,100000,114750
136,Zac MacMath,RSL,GK,29,29,2610,125,77,45,1.55,4/7,9,10,10,5,31.0,61.6,2014,reg,120000,120000
137,Jaime Penedo,LA ,GK,29,29,2610,115,81,33,1.14,3/3,15,7,7,8,51.7,70.4,2014,reg,135000,138562.5
138,Joe Bendik,PHI,GK,27,27,2430,125,82,45,1.67,4/5,8,11,8,4,29.6,65.6,2014,reg,140000,147375
139,Clint Irwin,COL,GK,26,25,2336,125,73,49,1.96,6/7,7,15,4,7,26.9,58.4,2014,reg,75000,87000
140,Tally Hall,HOU,GK,24,24,2150,115,67,44,1.83,7/8,8,12,4,7,33.3,58.3,2014,reg,200000,213500
141,Nick Rimando,RSL,GK,24,24,2160,97,71,25,1.04,1/5,13,4,7,7,54.2,73.2,2014,reg,225000,235833.33
142,Raul Fernandez,DAL,GK,21,20,1818,95,66,25,1.25,3/4,9,8,3,4,42.9,69.5,2014,reg,160000,247500
143,Troy Perkins,MTL,GK,21,21,1890,102,66,35,1.67,4/5,4,12,5,5,19.0,64.7,2014,reg,250000,271833.33
144,Eric Kronberg,KC ,GK,20,20,1800,73,45,22,1.1,5/5,7,8,5,7,35.0,61.6,2014,reg,120000,120000
145,Chris Seitz,DC,GK,14,14,1242,67,44,20,1.43,0/1,7,4,3,2,50.0,65.7,2014,reg,105000,105000
146,Evan Bush,MTL,GK,13,13,1170,79,52,23,1.77,2/2,2,6,5,3,15.4,65.8,2014,reg,48825,48825
147,Tyler Deric,HOU,GK,11,10,910,53,36,14,1.4,2/3,3,5,2,3,27.3,67.9,2014,reg,90000,97666.67
148,Andy Gruenebaum,KC ,GK,11,11,945,45,34,12,1.09,1/1,6,3,2,3,54.5,75.6,2014,reg,85000,85000
149,Jeff Attinella,POR,GK,10,10,900,60,45,14,1.4,3/5,2,4,4,3,20.0,75.0,2014,reg,48825,48825
151,John Berner,COL,GK,5,5,450,12,6,6,1.2,0/0,1,1,3,2,20.0,50.0,2014,reg,36500,36500
152,Joe Nasco,COL,GK,4,4,271,19,13,7,1.75,0/0,0,2,1,0,0.0,68.4,2014,reg,50000,52693.83
155,Andrew Dykstra,DC ,GK,4,4,360,9,6,3,0.75,0/1,3,0,1,2,75.0,66.7,2014,reg,48825,48825
156,Andrew Weber,POR,GK,3,2,198,16,8,8,4.0,2/3,0,2,1,0,0.0,50.0,2014,reg,48500.04,48500.04
158,Tim Melia,SKC,GK,2,1,79,4,1,3,3.0,0/0,0,1,0,0,0.0,25.0,2014,reg,70000,75000
159,Brian Perk,LA ,GK,2,2,180,3,2,1,0.5,0/0,1,0,1,1,50.0,66.7,2014,reg,60000,63125
160,Brad Knighton,NE,GK,2,2,180,12,6,6,3.0,1/1,1,1,0,0,50.0,50.0,2014,reg,78100,80700
161,Trevor Spangenberg,CHV,GK,1,0,22,2,1,1,1.0,1/1,0,0,0,0,0.0,50.0,2014,reg,36504,36504
162,Andre Blake,PHI,GK,1,1,90,8,7,2,2.0,0/0,0,1,0,0,0.0,87.5,2014,reg,75000,113000
163,Kyle Reynish,CHI,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0,2014,reg,74000,78316.67
164,Chris Konopka,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,60000,60000
165,Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,65000,65000
167,Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,72000,72000
168,David Bingham,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,85910,130285
169,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,66000,69493.44
171,Joe Willis,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48825,48825
172,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48500,50239.94
173,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,36504,36504
174,Billy Knutsen,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,36504,36504
175,Larry Jackson,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,36504,36504
176,Matt Lampson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48825,48825
177,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,68250,69500
178,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48500,48500
179,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,36504,36504
182,Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,36504,36504
184,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48500,48500
185,Luis Soffner,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,36500,36500
186,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48500,48500
187,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48500,48500
188,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,48500,48500
189,Luis Robles,MIA,GK,34,34,3060,131,86,43,1.26,2/3,18,10,6,9,52.9,65.6,2015,reg,130000,151375
190,David Ousted,VAN,GK,34,34,3060,137,99,36,1.06,2/6,16,13,5,13,47.1,72.3,2015,reg,286000,302570
191,David Bingham,LA,GK,34,34,3060,147,105,39,1.15,4/6,13,13,8,12,38.2,71.4,2015,reg,130000,137750
192,Steve Clark,POR,GK,34,34,3060,168,114,53,1.56,4/4,15,11,8,6,44.1,67.9,2015,reg,170000,188333.33
193,Adam Kwarasey,POR,GK,33,33,2970,120,80,36,1.09,4/4,15,10,8,13,45.5,66.7,2015,reg,260000,260000
194,Josh Saunders,NYC,GK,33,33,2970,188,123,57,1.73,6/7,10,16,7,4,30.3,65.4,2015,reg,90000,90000
195,Stefan Frei,SEA,GK,31,31,2744,144,111,33,1.06,2/3,14,10,6,10,45.2,77.1,2015,reg,165000,165000
197,Tyler Deric,HOU,GK,31,31,2790,139,89,44,1.42,5/5,10,13,8,7,32.3,64.0,2015,reg,105000,112666.67
198,Evan Bush,MTL,GK,31,31,2790,142,99,39,1.26,6/7,15,12,4,9,48.4,69.7,2015,reg,100000,100000
199,Clint Irwin,COL,GK,31,31,2790,125,88,38,1.23,3/3,8,13,10,8,25.8,70.4,2015,reg,85000,97000
200,Bill Hamid,DC,GK,25,25,2250,133,101,29,1.16,0/1,11,9,5,8,44.0,75.9,2015,reg,360000,405500
201,Nick Rimando,RSL,GK,24,24,2160,93,66,24,1.0,5/8,8,9,7,8,33.3,71.0,2015,reg,350000,370000
202,Tally Hall,ORL,GK,23,23,2064,114,73,41,1.78,4/5,10,8,5,5,43.5,64.0,2015,reg,215000,228500
203,Tim Melia,SKC,GK,23,23,2070,113,82,28,1.22,2/2,11,8,4,8,47.8,72.6,2015,reg,80000,84203.33
204,Sean Johnson,NYC,GK,21,21,1890,90,59,32,1.52,3/3,5,11,5,4,23.8,65.6,2015,reg,250000,253000
205,Donovan Ricketts,LA ,GK,21,21,1890,92,58,32,1.52,4/4,7,9,5,3,33.3,63.0,2015,reg,260000,260000
206,Chris Konopka,TOR,GK,21,21,1890,92,62,31,1.48,4/6,11,7,3,4,52.4,67.4,2015,reg,66000,66000
207,Dan Kennedy,DAL,GK,16,16,1440,48,30,19,1.19,3/4,7,5,4,5,43.8,62.5,2015,reg,233000,233000
209,Joe Bendik,PHI,GK,13,13,1170,72,45,27,2.08,2/2,4,8,1,1,30.8,62.5,2015,reg,150000,157375
210,Jon Busch,CHI,GK,12,12,1080,57,35,24,2.0,0/0,3,8,1,1,25.0,61.4,2015,reg,85000,90000
211,Brian Sylvestre,PHI,GK,12,12,1080,50,30,19,1.58,1/2,5,6,1,5,41.7,60.0,2015,reg,60000,60000
212,John McCarthy,MIA,GK,11,11,990,41,22,18,1.64,2/2,3,5,3,2,27.3,53.7,2015,reg,60000,66250
213,Jesse Gonzalez,DAL,GK,11,11,990,47,37,10,0.91,2/4,7,3,1,5,63.6,78.7,2015,reg,60000,69375
214,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,2/2,3,6,1,1,30.0,62.5,2015,reg,60000,65083.33
215,Andrew Dykstra,DC ,GK,9,9,778,57,40,16,1.78,0/1,3,4,1,0,33.3,70.2,2015,reg,60000,60000
217,Chris Seitz,DC,GK,7,7,630,27,17,10,1.43,0/1,4,2,1,3,57.1,63.0,2015,reg,130000,130000
