,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Base Salary,Base Guaranteed Comp.
3007,chris mccann,ATL,M-D,23,9,958,0,2,13,2,0,0/0,0,0,0.0,0.0,0,2,0,0.19,20,14,3,0,0,15.38,2017,reg,540000,568000
3010,pedro santos,CLB,M,9,8,650,0,2,14,6,0,0/0,0,0,0.0,0.0,1,2,0,0.28,20,21,3,2,0,42.86,2017,reg,684000,731000
3011,darwin ceren,HOU,M,21,19,1642,0,2,17,2,0,0/0,0,0,0.0,0.0,1,1,1,0.11,33,22,0,3,2,11.76,2017,reg,200000,249375
3012,ilie sanchez,SKC,M,33,33,2970,0,2,19,2,0,0/0,0,0,0.0,0.0,1,2,0,0.06,16,37,0,6,0,10.53,2017,reg,300000,305000
3013,roman torres,MIA,D,23,21,1787,0,2,19,0,0,0/0,0,0,0.0,0.0,0,1,1,0.1,25,7,1,4,1,0.0,2017,reg,433000,508812.5
3014,ricardo clark,HOU,M,28,26,2252,0,2,23,6,0,0/0,0,0,0.0,0.0,0,2,0,0.08,39,14,1,6,0,26.09,2017,reg,335160,372660
3015,sebastian saucedo,RSL,F,20,5,573,0,2,29,8,0,0/0,0,0,0.0,0.0,0,1,1,0.31,13,17,2,2,0,27.59,2017,reg,90000,100500
3018,tony rocha,NYC,M,3,0,25,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,3.6,1,2,0,1,0,,2017,reg,65620.8,65620.8
3019,marc burch,COL,D,18,17,1502,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,0.06,4,8,1,1,0,,2017,reg,135000,135000
3020,soni mustivar,KC ,M,14,2,260,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,0.35,7,4,0,0,0,,2017,reg,200000,200000
3021,connor maloney,CLB,D,2,1,127,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.71,0,1,0,0,0,0.0,2017,reg,53004,53004
3022,tsubasa endoh,TOR,M,4,3,269,0,1,2,1,0,0/0,0,0,0.0,0.0,1,1,0,0.33,4,5,0,0,0,50.0,2017,reg,54075,54075
3023,collin martin,MIN,M,11,7,635,0,1,2,1,0,0/0,0,0,0.0,0.0,0,1,0,0.14,11,7,0,4,0,50.0,2017,reg,84996,84996
3024,jordy delem,SEA,M,14,9,755,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.12,8,13,1,3,0,0.0,2017,reg,53004,53004
3026,eric alexander,HOU,M,12,11,887,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.1,8,5,0,0,0,0.0,2017,reg,190000,203750
3027,muhamed keita,NYR,F,6,2,190,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.47,6,3,0,1,0,0.0,2017,reg,200012.04,256401.04
3028,chris korb,DC,D,16,13,1160,0,1,2,0,0,0/0,0,0,0.0,0.0,1,1,0,0.08,5,10,0,0,0,0.0,2017,reg,65004,71004
3029,raymon gaddis,PHI,D,26,23,2028,0,1,2,0,0,0/0,0,0,0.0,0.0,1,1,0,0.04,17,11,0,5,0,0.0,2017,reg,165000,167500
3030,warren creavalle,PHI,M,13,5,545,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.17,9,6,0,2,0,0.0,2017,reg,125000,138000
3031,kofi sarkodie,SJ,D,18,16,1325,0,1,3,0,0,0/0,0,0,0.0,0.0,1,1,0,0.07,20,24,0,2,1,0.0,2017,reg,135000,140000
3032,andraz struna,NYC,D,5,4,322,0,1,3,0,0,0/0,0,0,0.0,0.0,0,1,0,0.28,3,3,0,1,0,0.0,2017,reg,75600,75600
3033,ben zemanski,POR,M,7,4,438,0,1,3,1,0,0/0,0,0,0.0,0.0,0,1,0,0.21,3,4,0,1,0,33.33,2017,reg,105000,109000
3034,giliano wijnaldum,PHI,D,13,13,1138,0,1,3,0,0,0/0,0,0,0.0,0.0,0,1,0,0.08,21,24,0,4,0,0.0,2017,reg,65004,78337.33
3036,vincent bezecourt,NYR,M,3,2,190,0,1,3,1,0,0/0,0,0,0.0,0.0,1,0,1,0.47,3,0,0,0,0,33.33,2017,reg,53004,53004
3037,drew conner,CHI,M,21,8,882,0,1,3,1,0,0/0,0,0,0.0,0.0,0,1,0,0.1,11,5,1,0,0,33.33,2017,reg,65625,65625
3039,samuel piette,MTL,M,11,11,960,0,1,3,0,0,0/0,0,0,0.0,0.0,0,0,1,0.09,14,12,0,3,0,0.0,2017,reg,90000,99234.37
3040,daniel lovitz,NSH,D,25,19,1750,0,1,4,1,0,0/0,0,0,0.0,0.0,0,1,0,0.05,26,10,2,4,1,25.0,2017,reg,78750,78750
3041,jared watts,COL,D-M,20,18,1490,0,1,4,1,0,0/0,0,0,0.0,0.0,1,1,0,0.06,21,12,0,4,2,25.0,2017,reg,75000,75000
3042,keegan rosenberry,COL,D,14,11,1051,0,1,4,2,0,0/0,0,0,0.0,0.0,0,1,0,0.09,13,6,0,2,0,50.0,2017,reg,104500,110312.5
3043,nouhou tolo,SEA,D,19,10,1052,0,1,5,0,0,0/0,0,0,0.0,0.0,0,1,0,0.09,15,13,1,1,1,0.0,2017,reg,52999.92,52999.92
3044,marcel de jong,VAN,D-M,13,9,779,0,1,5,2,0,0/0,0,0,0.0,0.0,1,1,0,0.12,11,10,0,1,0,40.0,2017,reg,140000,140000
3045,damarcus beasley,HOU,D,24,22,1985,0,1,6,3,0,0/0,0,0,0.0,0.0,0,1,0,0.05,13,35,0,0,0,50.0,2017,reg,316008,351008
3046,mohammed abu,DC,M,20,14,1280,0,1,6,1,0,0/0,0,0,0.0,0.0,0,1,0,0.07,24,14,0,3,0,16.67,2017,reg,165000,171250
3047,russell canouse,DC,M,10,10,868,0,1,6,1,0,0/0,0,0,0.0,0.0,0,0,1,0.1,18,12,0,3,0,16.67,2017,reg,65000.04,65000.04
3048,fidel escobar,NYR,D,6,5,482,0,1,7,1,0,0/0,0,0,0.0,0.0,0,0,1,0.19,5,4,0,2,0,14.29,2017,reg,95000.04,95000.04
3049,sam cronin,COL,M,21,21,1813,0,1,7,1,0,0/0,0,0,0.0,0.0,0,1,0,0.05,21,16,0,5,0,14.29,2017,reg,300000,324750
3050,david horst,RSL,D,12,8,880,0,1,7,2,0,0/0,0,0,0.0,0.0,0,0,1,0.1,10,5,0,4,0,28.57,2017,reg,110004,115004
3051,dillon powers,COL,M,21,15,1309,0,1,8,2,0,0/0,0,0,0.0,0.0,1,1,0,0.07,21,29,0,3,0,25.0,2017,reg,295000,325000
3052,alex crognale,CLB,D,17,12,1069,0,1,8,2,0,0/0,0,0,0.0,0.0,1,1,0,0.08,10,9,0,1,0,25.0,2017,reg,84996,84996
3053,marcelo sarvas,DC,M,25,19,1841,0,1,9,3,0,0/1,0,0,0.0,0.0,0,1,0,0.05,38,47,1,8,0,33.33,2017,reg,360000,425000
3054,cordell cato,SJ,F,15,13,1138,0,1,11,1,0,0/0,0,0,0.0,0.0,0,1,0,0.08,6,14,1,0,0,9.09,2017,reg,137000,138666.67
3055,damien perrinelle,NYR,D,25,22,1972,0,1,11,1,0,0/0,0,0,0.0,0.0,1,1,0,0.05,34,16,1,4,0,9.09,2017,reg,175008,175008
3056,jackson yueill,SJ,M,13,10,967,0,1,11,3,0,0/0,0,0,0.0,0.0,0,0,1,0.09,6,7,0,2,0,27.27,2017,reg,124992,175992
3057,bismark adjeiboateng,COL,M,18,10,806,0,1,12,3,0,0/0,0,0,0.0,0.0,0,1,0,0.11,16,12,0,3,0,25.0,2017,reg,300000,341246
3058,victor bernardez,SJ,D,25,25,2228,0,1,13,1,0,0/0,0,0,0.0,0.0,0,1,0,0.04,28,8,0,2,2,7.69,2017,reg,225000,266600
3060,soony saad,KC ,F,12,6,453,0,1,14,4,0,0/0,0,0,0.0,0.0,0,1,0,0.2,7,8,0,0,0,28.57,2017,reg,65004,65004
3061,laurent ciman,TOR,D,30,30,2700,0,1,15,2,0,0/0,0,0,0.0,0.0,0,0,1,0.03,35,14,2,6,0,13.33,2017,reg,630000,661666.67
3062,alphonso davies,VAN,M,26,9,1053,0,1,15,2,0,0/0,0,0,0.0,0.0,0,1,0,0.09,15,18,3,1,0,13.33,2017,reg,65000,65000
3063,harrison afful,CLB,D,24,21,1777,0,1,16,2,0,0/0,0,0,0.0,0.0,0,0,1,0.05,11,21,6,3,1,12.5,2017,reg,280000,296666.67
3064,chance myers,POR,D,1,1,44,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,125004,125004
3065,charlie davies,PHI,F,3,0,25,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2017,reg,108960,114684.94
3066,jason hernandez,TOR,D,8,5,526,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,,2017,reg,65004,65004
3067,marvell wynne,SJ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,245808,257058
3068,robbie rogers,LA ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,225000,233500
3069,david edgar,VAN,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,175000,183833.33
3070,michael harrington,CHI,D,9,9,798,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,9,0,0,0,,2017,reg,135000,136666.67
3071,maurice edu,PHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,750000,818750
3072,mauro rosales,VAN,M,5,0,52,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2017,reg,65004,65004
3073,philippe senderos,HOU,D,2,2,162,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,,2017,reg,225000,242500
3074,brian carroll,PHI,M,1,0,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,,2017,reg,132000,140000
3075,chris rolfe,DC,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,275000,275000
3077,justin davis,MIN,D,8,5,492,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,0,1,,2017,reg,80000,89750
3078,kevin garcia,HOU,D,3,2,211,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2017,reg,65633.4,65633.4
3079,marc pelosi,SJ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65004,75004
3080,harold cummings,SJ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,249996,300662.67
3081,bernardo anor,MIN,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,105000,105000
3082,nosa igiebor,VAN,M,1,1,73,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,,2017,reg,65000.04,98333.37
3083,gaston sauro,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,585000,601312.5
3084,kevin alston,ORL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,135000,135000
3085,amobi okugo,POR,D-M,8,3,396,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,3,0,1,0,,2017,reg,65004,187941.5
3086,zach loyd,ATL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,85008,85008
3088,jacori hayes,MIN,M,3,2,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,7,0,1,1,,2017,reg,65000.04,72500.04
3089,arun basuljevic,NYR,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3090,andrew wheeleromiunu,ATL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3091,marshall hollingsworth,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,54075,54075
3092,kip colvey,SJ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,54075,54075
3093,bryan reynolds,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53000,55000
3094,shannon gomez,NYC,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,54075,54075
3096,matheus silva,SJ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65000,65000
3097,andrew carleton,ATL,M,1,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65000,77400
3098,chris goslin,ATL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,70000,74000
3099,joey calistri,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,54075,54075
3100,james sands,NYC,M,1,0,23,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,53000.04,73833.37
3101,christian lucatero,HOU,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53000,53250
3102,chris odoiatsem,DC,D,9,5,482,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,,2017,reg,65000.04,72500.04
3103,brandon aubrey,TOR,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,75000,93750
3104,abuchi obinwa,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65004,65004
3105,kevin oliveira,KC ,M,2,0,16,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,,2017,reg,65004,68337.33
3106,colton storm,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3107,kwame awuah,NYC,M,4,0,26,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,53004,53004
3108,brandt bronico,CHI,M,4,0,53,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,65004,65004
3109,walker hume,DAL,F,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2017,reg,53004,53004
3110,lindo mfeka,SJ,M,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3111,david choiniere,MTL,M,3,0,34,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,1,0,0,,2017,reg,54075,54075
3112,brett levis,VAN,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65000,67500
3113,jose leiton,MIN,M,1,0,15,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,68504
3114,amer didic,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3115,reagan dunk,RSL,D,3,2,174,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2017,reg,53004,53004
3116,sam hamilton,COL,M,3,1,124,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,1,0,,2017,reg,65004,65004
3117,miles robinson,ATL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,125000.04,195000.04
3118,rennico clarke,POR,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,58004
3119,marco farfan,POR,D,6,5,403,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,2,0,0,,2017,reg,53000,53000
3120,zachary herivaux,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65625,65625
3121,chris durkin,DC,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,70000,79166.67
3122,taylor hunter,HOU,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3123,ben mckendry,VAN,M,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,,2017,reg,65000,65000
3124,eric ayuk,PHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65625,65625
3125,auston trusty,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,75000,104100
3126,conor donovan,ORL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,100000,128000
3128,nick besler,RSL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53000.04,53000.04
3130,ben swanson,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,85000,105416.67
3131,brian wright,NE,F,2,0,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,65000.04,83750.04
3132,george malki,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65004,65004
3133,cameron iwasa,KC ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65004,65004
3135,collin fernandez,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,85000,87000
3136,london woodberry,NE,D,3,2,165,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2017,reg,69300,69300
3137,john stertzer,NYC,M,5,0,53,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,65000,65000
3138,dan metzger,NYR,M,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,53004,53004
3139,kevin venegas,MIN,D,6,6,540,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,0,0,0,,2017,reg,85000,88333.33
3140,jorge corrales,MTL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65004,65004
3141,sergio camargo,TOR,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65004,65004
3142,gbenga arokoyo,POR,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,135000,155600
3143,cole seiler,VAN,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,54075,54075
3144,brandon allen,MIN,F,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65625,65625
3145,mark bloom,ATL,D,2,2,163,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,5,0,0,0,,2017,reg,99225,106573.89
3146,tyler pasher,KC ,M-D,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,53000,53000
3147,zach mathers,SEA,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3148,dennis castillo,COL,D,3,3,244,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,1,0,1,0,,2017,reg,54075,54075
3149,kharlton belmar,KC ,F,1,0,6,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2017,reg,65004,65004
3150,luis gonzalez,DAL,M,2,0,8,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2017,reg,65000.04,83125.04
3151,donnie smith,NE,M,1,1,53,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,66150,66150
3152,raul mendiola,LA ,M,4,0,36,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2017,reg,65625,65625
3153,bill tuiloma,POR,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,64254
3154,anibal chala,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,250000.08,333000.08
3155,pierre da silva,ORL,M,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3156,hugo arellano,LA ,D,4,4,334,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,3,0,1,0,,2017,reg,65000,72375
3157,erik palmerbrown,KC ,D,10,7,641,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,7,0,0,0,,2017,reg,75000,75500
3159,marco bustos,VAN,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65625,70475
3160,ken tribbett,NSH,D,1,0,3,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65000,65000
3161,kyle greig,VAN,F,1,0,2,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,65004,66849
3162,gideon baah,NYR,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,230000,315500
3165,charlie ward,HOU,M,1,0,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2017,reg,53004,53004
3167,gianluca busio,SKC,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,55504
3168,hassan ndam,CIN,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3169,aaron jones,PHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,53004
3170,matej dekovic,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,65004,65004
3171,reggie cannon,DAL,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53000.04,53000.04
3172,adonijah reid,DAL,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,70000.08,84375.08
3173,ricardo perez,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2017,reg,53004,54254
3175,david arshakyan,CHI,F,7,0,27,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,0.0,2017,reg,156000,178850
3176,ismaila jome,MIN,M-F,12,7,674,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,4,0,3,0,0.0,2017,reg,65004,67837.33
3177,nick depuy,LA,D,5,1,128,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,1,0,0,0.0,2017,reg,65000.04,72500.04
3179,oyvind alseth,TOR,D,4,4,269,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,1,0,0.0,2017,reg,53004,53004
3180,mikey ambrose,MIA,D,7,2,260,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,2,1,0,0.0,2017,reg,65625,65625
3181,jonathan campbell,CHI,D,24,8,1009,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,6,0,2,0,0.0,2017,reg,101750,109875
3182,james musa,MIN,D-M,1,1,90,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,100.0,2017,reg,65004,65004
3184,christian dean,CHI,D,6,5,459,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,1,0,0.0,2017,reg,90000,93125
3185,carlos cermeno,DAL,M,8,3,315,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,6,0,2,0,0.0,2017,reg,120000,123000
3187,coy craft,DAL,F-M,1,0,11,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,2017,reg,85000,102083.33
3188,rob vincent,DC,M-F,2,0,66,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,2,0,0.0,2017,reg,65633.4,65633.4
3189,rafael ramos,ORL,D,2,1,55,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,1,0.0,2017,reg,100800,100800
3190,joseph greenspan,MIN,D,4,3,235,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,1,0,1,1,0.0,2017,reg,65000,66469.08
3191,cameron porter,KC ,F,1,0,21,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,0,0,0.0,2017,reg,65000,117500
3192,tony alfaro,SEA,D,15,8,817,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,2,0,4,0,0.0,2017,reg,54075,54075
3193,hadji barry,ORL,F,3,0,11,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,0,0,0.0,2017,reg,68750,73312.5
3194,shamit shome,MTL,M,1,0,8,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2017,reg,100000.08,128500.08
3195,paxton pomykal,DAL,M,2,2,140,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,0.0,2017,reg,70000,75000
