,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Base Salary,Base Guaranteed Comp.
138,bobby boswell,HOU,D,33,33,2930,2,1,20,7,0,0/0,2,0,0.06,10.0,1,0,1,0.03,22,15,0,4,0,35.0,2012,reg,200000,200000
139,jamie smith,COL,M,10,1,226,2,0,4,3,0,0/0,1,1,0.8,50.0,0,0,0,0.0,1,3,0,0,0,75.0,2012,reg,148992,158992
140,sinisa ubiparipovic,MTL,F-M,12,3,325,2,0,5,2,0,0/0,2,0,0.55,40.0,0,0,0,0.0,5,3,0,1,0,40.0,2012,reg,55000,55000
141,tyrone marshall,COL,D,16,13,1128,2,0,7,3,0,0/0,1,1,0.16,28.6,0,0,0,0.0,21,7,0,3,1,42.86,2012,reg,90000,93250
142,heath pearce,CHV,D,28,28,2504,2,0,7,4,1,0/0,1,1,0.07,28.6,0,0,0,0.0,9,20,0,1,0,57.14,2012,reg,292499,301999
143,ricardo villar,DAL,M,9,8,609,2,0,11,6,1,0/0,1,1,0.3,18.2,0,0,0,0.0,7,18,1,0,0,54.55,2012,reg,80004,80004
144,aj soares,NE ,D,30,30,2611,2,0,11,5,1,0/0,0,2,0.07,18.2,0,0,0,0.0,29,23,1,3,0,45.45,2012,reg,76450,116450
145,nat borchers,RSL,D,26,26,2340,2,0,12,6,1,0/0,1,1,0.08,16.7,0,0,0,0.0,16,11,1,0,0,50.0,2012,reg,200004,211972.75
147,scott sealy,DAL,F,16,8,641,2,0,16,6,0,0/0,1,1,0.28,12.5,0,0,0,0.0,8,7,8,0,0,37.5,2012,reg,50004,50004
148,andrew wiedeman,DAL,F,20,8,897,2,0,17,5,1,0/0,1,1,0.2,11.8,0,0,0,0.0,5,8,3,0,0,29.41,2012,reg,80000,123000
149,alejandro moreno,CHV,F,22,17,1520,2,0,18,5,0,0/0,1,1,0.12,11.1,0,0,0,0.0,36,42,9,1,0,27.78,2012,reg,185000,195000
150,chad marshall,CLB,D,24,24,2146,2,0,22,8,0,0/0,2,0,0.08,9.1,0,0,0,0.0,15,15,3,1,0,36.36,2012,reg,310000,341250
152,carlos valdes,PHI,D,33,33,2923,2,0,24,5,1,0/0,2,0,0.06,8.3,0,0,0,0.0,36,34,1,4,0,20.83,2012,reg,268000,268000
153,alex,CHI,M,17,6,705,2,0,29,9,1,0/0,2,0,0.26,6.9,0,0,0,0.0,14,18,1,1,0,31.03,2012,reg,96000,105950
154,shea salinas,SJ,M,19,11,1099,1,7,17,5,0,0/0,0,1,0.08,5.9,2,6,1,0.57,16,10,1,1,0,29.41,2012,reg,82000,87975.08
155,branko boskovic,DC ,M,26,12,1081,1,7,20,8,1,0/0,1,0,0.08,5.0,2,5,2,0.58,22,18,0,1,1,40.0,2012,reg,195240,242340
156,sam cronin,SJ ,M,31,30,2578,1,6,25,3,0,0/0,1,0,0.03,4.0,2,3,3,0.21,37,21,0,3,0,12.0,2012,reg,71156.25,119156.25
157,julian de guzman,DAL,M,28,21,1957,1,5,32,5,1,0/0,1,0,0.05,3.1,1,2,3,0.23,37,23,1,6,0,15.62,2012,reg,1863996,1910746
158,franck songoo,POR,M,27,21,1732,1,5,47,18,1,0/0,1,0,0.05,2.1,2,2,3,0.26,35,44,5,7,0,38.3,2012,reg,70000,70000
159,michael farfan,PHI,M,32,31,2802,1,5,54,15,1,0/1,0,1,0.03,1.9,1,3,2,0.16,74,64,2,7,0,27.78,2012,reg,57200,94700
160,justin morrow,TOR,D,33,33,2970,1,4,6,2,0,0/0,1,0,0.03,16.7,2,2,2,0.12,25,30,0,2,0,33.33,2012,reg,102000,111562.5
161,lee youngpyo,VAN,D,33,33,2970,1,4,7,2,1,0/0,0,1,0.03,14.3,1,4,0,0.12,23,29,2,2,0,28.57,2012,reg,140000,174200
